,Year,Week,TempMax,TempMIN,PRCP_mm,GoogleTrendsFever,GoogleTrendsVomit,GoogleTrendsVaccine,TotalFluSympPatients,TotalFluPositiveVirusPatients,GoogleTrendsFatigue
135,2017,27,23,12,1.07,35,10,12,33.0,0.0,49.0
136,2017,28,26,14,4.11,36,13,14,32.0,0.0,49.0
137,2017,29,21,12,16.46,32,11,11,34.0,0.0,50.0
138,2017,30,24,13,2.29,34,15,10,36.0,0.0,48.0
139,2017,31,22,12,2.46,32,15,13,27.0,1.0,48.0
140,2017,32,26,15,1.46,32,16,14,22.0,0.0,49.0
141,2017,33,23,14,8.96,32,13,9,31.0,0.0,50.0
142,2017,34,26,16,2.21,32,15,10,26.0,0.0,48.0
143,2017,35,24,14,3.07,30,12,12,39.0,0.0,48.0
144,2017,36,24,13,2.79,33,16,10,47.0,0.0,48.0
145,2017,37,22,10,1.14,37,17,12,50.0,0.0,49.0
146,2017,38,24,11,1.0,36,13,10,65.0,0.0,50.0
148,2017,40,18,8,2.32,36,11,11,61.0,3.0,50.0
149,2017,41,18,7,1.71,39,17,11,104.0,5.0,50.0
150,2017,42,18,11,0.43,35,13,13,93.0,2.0,51.0
151,2017,43,14,8,4.61,33,15,11,101.0,0.0,51.0
152,2017,44,16,9,0.36,34,13,10,68.0,2.0,50.0
153,2017,45,18,9,0.93,37,14,12,112.0,3.0,49.0
154,2017,46,13,8,4.0,37,10,12,117.0,2.0,50.0
155,2017,47,11,5,4.71,39,14,12,139.0,6.0,53.0
156,2017,48,8,3,0.89,39,10,12,143.0,7.0,49.0
157,2017,49,8,2,0.96,43,10,11,144.0,7.0,49.0
158,2017,50,8,3,3.18,44,12,7,136.0,13.0,49.0
159,2017,51,5,0,1.11,50,19,6,118.0,30.0,48.0
160,2017,52,6,2,1.93,45,14,7,64.0,24.0,50.0
161,2018,1,5,1,2.5,43,13,12,177.0,45.0,49.0
162,2018,2,6,3,0.29,51,12,14,214.0,63.0,49.0
163,2018,3,8,1,0.64,64,13,14,301.0,137.0,48.0
164,2018,4,7,2,3.54,70,11,13,342.0,187.0,47.0
165,2018,5,2,-1,0.57,72,13,15,403.0,207.0,47.0
166,2018,6,3,0,2.68,91,12,9,388.0,188.0,47.0
167,2018,7,8,4,2.25,95,15,10,427.0,243.0,47.0
168,2018,8,6,1,1.71,92,9,12,420.0,255.0,47.0
169,2018,9,2,-6,0.18,100,15,11,442.0,292.0,48.0
170,2018,10,5,-2,0.21,79,13,12,413.0,266.0,47.0
171,2018,11,2,-5,0.0,58,11,11,350.0,195.0,48.0
172,2018,12,-3,-12,0.0,51,11,13,224.0,103.0,48.0
173,2018,13,8,0,1.86,41,15,10,155.0,69.0,48.0
174,2018,14,5,0,2.43,38,14,11,97.0,31.0,49.0
175,2018,15,6,-3,0.93,37,11,13,103.0,10.0,48.0
176,2018,16,7,1,3.39,34,10,11,82.0,5.0,48.0
